claim_id,policy_id,event_id,date_of_loss,reported_date,peril_type,claim_status,incurred_amount,paid_to_date,snapshot_date
CLM-000506,POL-004058,CYC-2024-01,2024-01-23,2024-02-06,Wind,Closed,1206632.78,1103492.49,2024-02-28
CLM-000507,POL-000854,CYC-2023-02,2023-12-04,2023-12-17,Riverine Flood,Open,54750.32,0.0,2023-12-17
CLM-000508,POL-000373,CYC-2025-02,2025-11-28,2025-11-29,Wind,Open,29248.05,0.0,2025-11-29
CLM-000509,POL-000113,CYC-2024-01,2024-01-24,2024-01-29,Wind,Open,54065.13,0.0,2024-01-29
CLM-000509,POL-000113,CYC-2024-01,2024-01-24,2024-01-29,Wind,Closed,98060.59,93679.26,2024-04-26
CLM-000510,POL-004940,CYC-2024-02,2024-03-17,2024-03-31,Wind,Open,186509.71,0.0,2024-03-31
CLM-000510,POL-004940,CYC-2024-02,2024-03-17,2024-03-31,Wind,Closed,500796.81,485548.95,2024-08-21
CLM-000511,POL-004617,CYC-2023-02,2023-12-03,2023-12-14,Wind,Open,74429.23,0.0,2023-12-14
CLM-000511,POL-004617,CYC-2023-02,2023-12-03,2023-12-14,Wind,Closed,243746.66,227829.74,2024-02-15
CLM-000512,POL-000553,CYC-2025-01,2025-02-10,2025-02-22,Wind,Open,139656.62,0.0,2025-02-22
CLM-000512,POL-000553,CYC-2025-01,2025-02-10,2025-02-22,Wind,Closed,247781.05,221318.78,2025-04-27
CLM-000513,POL-002207,CYC-2023-01,2023-02-13,2023-02-16,Riverine Flood,Open,80347.31,0.0,2023-02-16
CLM-000513,POL-002207,CYC-2023-01,2023-02-13,2023-02-16,Riverine Flood,Closed,153950.93,131457.08,2023-08-11
CLM-000514,POL-000442,CYC-2024-02,2024-03-15,2024-03-25,Wind,Open,205149.32,0.0,2024-03-25
CLM-000514,POL-000442,CYC-2024-02,2024-03-15,2024-03-25,Wind,Closed,600091.66,528950.85,2024-05-25
CLM-000515,POL-001519,CYC-2024-01,2024-01-23,2024-02-05,Wind,Open,110481.09,0.0,2024-02-05
CLM-000515,POL-001519,CYC-2024-01,2024-01-23,2024-02-05,Wind,Closed,194654.28,185575.61,2024-04-09
CLM-000516,POL-001430,CYC-2024-02,2024-03-16,2024-03-24,Riverine Flood,Open,26785.67,0.0,2024-03-24
CLM-000516,POL-001430,CYC-2024-02,2024-03-16,2024-03-24,Riverine Flood,Closed,47927.8,45600.19,2024-05-08
CLM-000517,POL-003599,CYC-2025-01,2025-02-09,2025-02-21,Wind,Open,17952.65,0.0,2025-02-21
CLM-000517,POL-003599,CYC-2025-01,2025-02-09,2025-02-21,Wind,Closed,37020.89,36896.14,2025-03-25
CLM-000518,POL-004642,CYC-2023-02,2023-12-04,2023-12-18,Riverine Flood,Open,37462.06,0.0,2023-12-18
CLM-000518,POL-004642,CYC-2023-02,2023-12-04,2023-12-18,Riverine Flood,Closed,70706.39,65315.34,2024-05-26
CLM-000519,POL-003239,CYC-2024-01,2024-01-22,2024-01-31,Riverine Flood,Open,90444.16,0.0,2024-01-31
CLM-000519,POL-003239,CYC-2024-01,2024-01-22,2024-01-31,Riverine Flood,Closed,175110.36,152196.99,2024-03-09
CLM-000520,POL-001961,CYC-2024-01,2024-01-24,2024-01-25,Wind,Open,8312.27,0.0,2024-01-25
CLM-000520,POL-001961,CYC-2024-01,2024-01-24,2024-01-25,Wind,Closed,23518.47,20974.66,2024-07-10
CLM-000521,POL-002363,CYC-2025-02,2025-11-27,2025-12-11,Riverine Flood,Open,67361.32,0.0,2025-12-11
CLM-000521,POL-002363,CYC-2025-02,2025-11-27,2025-12-11,Riverine Flood,Closed,191891.71,185713.34,2026-05-03
CLM-000522,POL-001698,CYC-2025-01,2025-02-08,2025-02-12,Riverine Flood,Open,19099.04,0.0,2025-02-12
CLM-000522,POL-001698,CYC-2025-01,2025-02-08,2025-02-12,Riverine Flood,Closed,43023.86,42700.29,2025-04-30
CLM-000523,POL-000444,CYC-2025-01,2025-02-10,2025-02-18,Wind,Open,47152.75,0.0,2025-02-18
CLM-000523,POL-000444,CYC-2025-01,2025-02-10,2025-02-18,Wind,Closed,85308.05,79478.92,2025-08-10
CLM-000524,POL-003640,CYC-2025-02,2025-11-29,2025-12-03,Wind,Open,59385.72,0.0,2025-12-03
CLM-000524,POL-003640,CYC-2025-02,2025-11-29,2025-12-03,Wind,Closed,110404.71,103364.14,2026-02-25
CLM-000525,POL-000128,CYC-2024-01,2024-01-23,2024-01-28,Storm Surge,Open,173349.93,0.0,2024-01-28
