policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date
POL-002001,Pacific Rim Insurance,4680,Gladstone QLD,L-P,Strata,3617294,,15125.15,2025-02-05,2026-02-05
POL-002002,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,399522,,2454.35,2023-03-26,2024-03-25
POL-002003,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,511912,,2032.3,2023-07-09,2024-07-08
POL-002004,Coral Coast Mutual,6714,Karratha WA,T-W,SME,2877930,,27449.24,2024-08-14,2025-08-14
POL-002005,Southern Cross Insurance,810,Darwin NT,T-W,Home,402275,Elevated Slab,3299.93,2025-08-15,2026-08-15
POL-002006,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,Home,441021,,1672.36,2024-10-11,2025-10-11
POL-002007,Coral Coast Mutual,4350,Toowoomba QLD,B-F,Home,849876,Shutters Installed,1295.31,2025-05-28,2026-05-28
POL-002008,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,855239,,5454.16,2023-08-08,2024-08-07
POL-002009,Coral Coast Mutual,4810,Townsville QLD,T-W,Home,542872,Elevated Slab,4519.99,2024-06-10,2025-06-10
POL-002010,Pacific Rim Insurance,6714,Karratha WA,T-W,Strata,7720745,Roof Tie-Down,66172.86,2024-05-14,2025-05-14
POL-002011,Southern Cross Insurance,4737,Bowen QLD,Q-S,SME,1836024,,12562.54,2023-09-27,2024-09-26
POL-002012,Outback Assurance Group,4680,Gladstone QLD,L-P,Home,819711,Roof Tie-Down,2707.61,2023-08-21,2024-08-20
POL-002013,Outback Assurance Group,800,Darwin NT,T-W,Home,382434,,3904.38,2023-11-11,2024-11-10
POL-002014,Pacific Rim Insurance,4879,Innisfail QLD,T-W,Home,779241,,6932.88,2025-04-19,2026-04-19
POL-002015,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,267531,,1634.15,2025-02-01,2026-02-01
POL-002016,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Home,806334,Roof Tie-Down,2893.03,2025-03-30,2026-03-30
POL-002017,Southern Cross Insurance,4680,Gladstone QLD,L-P,Home,806657,,3162.15,2023-06-12,2024-06-11
POL-002018,Northbeam General,4700,Rockhampton QLD,Q-S,Home,487248,,3384.53,2025-02-08,2026-02-08
POL-002019,Outback Assurance Group,4825,Cloncurry QLD,B-F,Strata,5392288,,9275.98,2025-09-09,2026-09-09
POL-002020,Coral Coast Mutual,6721,Port Hedland WA,T-W,Home,691727,,7088.9,2024-04-24,2025-04-24
POL-002021,Coral Coast Mutual,810,Darwin NT,T-W,SME,714029,Shutters Installed,5479.03,2024-07-23,2025-07-23
POL-002022,Northbeam General,4703,Rockhampton QLD,Q-S,Strata,3120966,,18497.93,2024-02-25,2025-02-24
POL-002023,Outback Assurance Group,810,Darwin NT,T-W,Home,504240,Roof Tie-Down,3983.17,2023-06-13,2024-06-12
POL-002024,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,617428,Shutters Installed,2014.89,2025-09-13,2026-09-13
POL-002025,Northbeam General,810,Darwin NT,T-W,SME,2857567,Roof Tie-Down,25125.47,2023-06-05,2024-06-04
POL-002026,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Home,593376,Shutters Installed,2957.62,2023-05-01,2024-04-30
POL-002027,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,877516,,8288.23,2024-11-07,2025-11-07
POL-002028,Coral Coast Mutual,6721,Port Hedland WA,T-W,SME,2958675,,27850.89,2023-03-14,2024-03-13
POL-002029,Outback Assurance Group,6000,Perth WA,B-F,Strata,6285779,Roof Tie-Down,8872.55,2024-04-22,2025-04-22
POL-002030,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,760975,,7602.96,2023-08-19,2024-08-18
POL-002031,Outback Assurance Group,800,Darwin NT,T-W,Home,878146,,8951.52,2023-09-05,2024-09-04
POL-002032,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,543814,,5519.94,2025-01-20,2026-01-20
POL-002033,Southern Cross Insurance,6000,Perth WA,B-F,Home,513453,Shutters Installed,861.48,2023-03-27,2024-03-26
POL-002034,Outback Assurance Group,800,Darwin NT,T-W,SME,2856956,,27113.81,2024-08-28,2025-08-28
POL-002035,Pacific Rim Insurance,6000,Perth WA,B-F,Home,761560,,1387.44,2025-05-07,2026-05-07
POL-002036,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,Home,651171,,2484.46,2023-04-21,2024-04-20
POL-002037,Pacific Rim Insurance,800,Darwin NT,T-W,Home,500205,Roof Tie-Down,3926.63,2024-11-19,2025-11-19
POL-002038,Outback Assurance Group,4879,Innisfail QLD,T-W,SME,567205,,5223.89,2025-03-18,2026-03-18
POL-002039,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,668059,,4614.36,2024-10-05,2025-10-05
POL-002040,Outback Assurance Group,4870,Cairns QLD,T-W,Home,594941,Roof Tie-Down,4418.67,2025-07-31,2026-07-31
POL-002041,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,1463315,,13508.33,2024-11-30,2025-11-30
POL-002042,Outback Assurance Group,4680,Gladstone QLD,L-P,Strata,9482755,Shutters Installed,35774.35,2023-11-29,2024-11-28
POL-002043,Coral Coast Mutual,6000,Perth WA,B-F,SME,2742425,Roof Tie-Down,4423.17,2024-07-14,2025-07-14
POL-002044,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,SME,1121663,,5035.78,2025-05-27,2026-05-27
POL-002045,Southern Cross Insurance,6714,Karratha WA,T-W,Home,488625,,4471.61,2023-11-10,2024-11-09
POL-002046,Outback Assurance Group,4825,Mount Isa QLD,B-F,Home,771344,Shutters Installed,1213.08,2025-02-13,2026-02-13
POL-002047,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,617624,,3883.68,2024-03-24,2025-03-24
POL-002048,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Strata,3870334,Shutters Installed,20056.91,2023-11-14,2024-11-13
POL-002049,Southern Cross Insurance,4825,Cloncurry QLD,B-F,Home,436550,,769.76,2024-12-13,2025-12-13
POL-002050,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,674292,,4691.64,2023-05-30,2024-05-29
POL-002051,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,653953,Roof Tie-Down,921.23,2025-09-06,2026-09-06
POL-002052,Northbeam General,4810,Townsville QLD,T-W,Home,485745,Roof Tie-Down,3877.31,2023-02-11,2024-02-11
POL-002053,Northbeam General,4825,Cloncurry QLD,B-F,Home,277639,,499.2,2025-05-03,2026-05-03
POL-002054,Northbeam General,4350,Toowoomba QLD,B-F,SME,1305835,Elevated Slab,1856.23,2023-10-31,2024-10-30
POL-002055,Pacific Rim Insurance,4870,Cairns QLD,T-W,SME,2241089,,20926.39,2024-07-18,2025-07-18
POL-002056,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,859113,,5472.12,2024-08-12,2025-08-12
POL-002057,Northbeam General,6000,Perth WA,B-F,SME,1505439,,2672.57,2024-01-09,2025-01-08
POL-002058,Northbeam General,6714,Karratha WA,T-W,Home,391025,Roof Tie-Down,3044.91,2025-04-27,2026-04-27
POL-002059,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,782103,Roof Tie-Down,1246.48,2024-07-02,2025-07-02
POL-002060,Pacific Rim Insurance,800,Darwin NT,T-W,SME,1861055,,18449.33,2024-10-22,2025-10-22
POL-002061,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,305785,,546.04,2024-03-24,2025-03-24
POL-002062,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,429664,,3691.68,2024-04-04,2025-04-04
POL-002063,Southern Cross Insurance,4740,Mackay QLD,Q-S,SME,1020254,,6053.08,2023-12-29,2024-12-28
POL-002064,Outback Assurance Group,6000,Perth WA,B-F,Home,278916,,523.5,2024-05-17,2025-05-17
POL-002065,Coral Coast Mutual,810,Darwin NT,T-W,Strata,9585176,Shutters Installed,74456.38,2024-12-14,2025-12-14
POL-002066,Pacific Rim Insurance,6714,Karratha WA,T-W,Home,782629,,8098.57,2023-05-28,2024-05-27
POL-002067,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,889206,Roof Tie-Down,6538.37,2025-02-11,2026-02-11
POL-002068,Northbeam General,4802,Townsville QLD,T-W,Home,893668,,7748.9,2024-02-28,2025-02-27
POL-002069,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,438052,,3038.53,2023-01-31,2024-01-31
POL-002070,Outback Assurance Group,800,Darwin NT,T-W,Home,673158,Roof Tie-Down,5516.2,2025-08-29,2026-08-29
POL-002071,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,609971,,5427.33,2023-11-15,2024-11-14
POL-002072,Outback Assurance Group,4700,Rockhampton QLD,Q-S,SME,2495817,,14894.92,2023-09-24,2024-09-23
POL-002073,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,335530,,2111.03,2025-02-08,2026-02-08
POL-002074,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,313859,,1445.29,2023-03-02,2024-03-01
POL-002075,Outback Assurance Group,800,Darwin NT,T-W,Home,804823,,6900.47,2023-12-01,2024-11-30
POL-002076,Northbeam General,6721,Port Hedland WA,T-W,Home,840730,,7787.0,2023-03-13,2024-03-12
POL-002077,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,811212,,4975.88,2023-12-20,2024-12-19
POL-002078,Northbeam General,810,Darwin NT,T-W,Home,712104,,7044.2,2025-06-19,2026-06-19
POL-002079,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Home,281815,,1212.52,2025-08-15,2026-08-15
POL-002080,Northbeam General,800,Darwin NT,T-W,SME,1622349,Shutters Installed,12072.8,2024-11-30,2025-11-30
POL-002081,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,771824,,6882.36,2023-06-08,2024-06-07
POL-002082,Outback Assurance Group,6714,Karratha WA,T-W,Strata,11193586,,113395.09,2025-03-13,2026-03-13
POL-002083,Outback Assurance Group,800,Darwin NT,T-W,SME,1432730,Roof Tie-Down,11258.53,2023-09-03,2024-09-02
POL-002084,Outback Assurance Group,4703,Rockhampton QLD,Q-S,SME,645887,Roof Tie-Down,3865.86,2025-08-01,2026-08-01
POL-002085,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,586124,,6026.85,2024-07-30,2025-07-30
POL-002086,Outback Assurance Group,4825,Cloncurry QLD,B-F,Home,460692,,793.18,2023-05-19,2024-05-18
POL-002087,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,673874,,4323.36,2023-03-26,2024-03-25
POL-002088,Outback Assurance Group,4870,Cairns QLD,T-W,Home,757620,Shutters Installed,6251.96,2023-11-10,2024-11-09
POL-002089,Southern Cross Insurance,6721,Port Hedland WA,T-W,SME,2612705,,26465.1,2023-07-12,2024-07-11
POL-002090,Coral Coast Mutual,6721,Port Hedland WA,T-W,SME,2796100,,26790.26,2024-10-18,2025-10-18
POL-002091,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,567661,Roof Tie-Down,3064.13,2023-12-27,2024-12-26
POL-002092,Northbeam General,4740,Mackay QLD,Q-S,SME,2219506,,15115.06,2024-06-20,2025-06-20
POL-002093,Northbeam General,4720,Charters Towers QLD,L-P,Home,474912,,1834.52,2025-08-30,2026-08-30
POL-002094,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,1253994,Roof Tie-Down,1916.8,2024-08-07,2025-08-07
POL-002095,Northbeam General,4870,Cairns QLD,T-W,Home,371981,Elevated Slab,3258.65,2023-01-05,2024-01-05
POL-002096,Outback Assurance Group,6714,Karratha WA,T-W,Strata,5831443,,53978.11,2025-05-07,2026-05-07
POL-002097,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,520726,,3643.27,2024-03-08,2025-03-08
POL-002098,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,535857,,4998.2,2023-01-11,2024-01-11
POL-002099,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,448701,,4532.68,2024-05-14,2025-05-14
POL-002100,Northbeam General,4810,Townsville QLD,T-W,Home,293829,,2900.8,2024-04-04,2025-04-04
POL-002101,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,416643,Roof Tie-Down,688.74,2024-05-15,2025-05-15
POL-002102,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,518958,Roof Tie-Down,3128.34,2025-01-02,2026-01-02
POL-002103,Southern Cross Insurance,6721,Port Hedland WA,T-W,Home,847801,Shutters Installed,6519.44,2025-02-18,2026-02-18
POL-002104,Northbeam General,4655,Hervey Bay QLD,L-P,SME,762820,,3238.93,2024-05-24,2025-05-24
POL-002105,Southern Cross Insurance,810,Darwin NT,T-W,Home,752078,Roof Tie-Down,5598.54,2023-08-23,2024-08-22
POL-002106,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,320674,,1277.27,2024-09-22,2025-09-22
POL-002107,Northbeam General,4737,Bowen QLD,Q-S,SME,572184,Elevated Slab,3264.3,2024-05-30,2025-05-30
POL-002108,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,SME,459605,Roof Tie-Down,2767.14,2023-12-16,2024-12-15
POL-002109,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Home,309169,Shutters Installed,1671.03,2023-06-06,2024-06-05
POL-002110,Outback Assurance Group,4720,Charters Towers QLD,L-P,Home,453779,Roof Tie-Down,1566.82,2025-01-08,2026-01-08
POL-002111,Pacific Rim Insurance,4870,Cairns QLD,T-W,SME,1430859,Roof Tie-Down,11789.11,2023-10-22,2024-10-21
POL-002112,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,309468,,1855.19,2023-03-08,2024-03-07
POL-002113,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,428169,,1878.9,2023-11-26,2024-11-25
POL-002114,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,495012,Roof Tie-Down,2464.68,2023-01-04,2024-01-04
POL-002115,Southern Cross Insurance,4740,Mackay QLD,Q-S,SME,901815,,6280.33,2025-02-19,2026-02-19
POL-002116,Outback Assurance Group,4802,Townsville QLD,T-W,Home,749571,Roof Tie-Down,6582.05,2024-10-22,2025-10-22
POL-002117,Coral Coast Mutual,6721,Port Hedland WA,T-W,SME,1396856,Elevated Slab,11692.18,2024-09-19,2025-09-19
POL-002118,Outback Assurance Group,4680,Gladstone QLD,L-P,Strata,10038452,,45698.23,2023-06-06,2024-06-05
POL-002119,Outback Assurance Group,4825,Cloncurry QLD,B-F,SME,1603192,Shutters Installed,2520.14,2023-06-28,2024-06-27
POL-002120,Northbeam General,6000,Perth WA,B-F,SME,487816,Elevated Slab,736.17,2023-11-04,2024-11-03
POL-002121,Northbeam General,4740,Mackay QLD,Q-S,Home,817802,,5689.6,2024-02-16,2025-02-15
POL-002122,Outback Assurance Group,4680,Gladstone QLD,L-P,Home,688017,Elevated Slab,2436.86,2024-04-08,2025-04-08
POL-002123,Northbeam General,4655,Hervey Bay QLD,L-P,Home,668259,Shutters Installed,2210.63,2024-06-26,2025-06-26
POL-002124,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,Home,454054,Roof Tie-Down,756.95,2025-01-16,2026-01-16
POL-002125,Coral Coast Mutual,4680,Gladstone QLD,L-P,Strata,14817400,,65868.47,2024-01-19,2025-01-18
POL-002126,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,819197,,5486.91,2023-11-04,2024-11-03
POL-002127,Outback Assurance Group,4879,Innisfail QLD,T-W,Home,828492,Shutters Installed,7211.8,2024-11-06,2025-11-06
POL-002128,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Home,274993,,1199.78,2024-01-31,2025-01-30
POL-002129,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,840729,,5759.0,2024-10-18,2025-10-18
POL-002130,Northbeam General,4802,Townsville QLD,T-W,SME,2125074,Roof Tie-Down,16530.17,2023-09-09,2024-09-08
POL-002131,Southern Cross Insurance,850,Alice Springs NT,B-F,Home,892069,,1615.55,2024-10-05,2025-10-05
POL-002132,Southern Cross Insurance,800,Darwin NT,T-W,SME,436359,Roof Tie-Down,3819.7,2025-06-09,2026-06-09
POL-002133,Northbeam General,6714,Karratha WA,T-W,SME,1896092,Shutters Installed,14401.49,2023-06-04,2024-06-03
POL-002134,Outback Assurance Group,6721,Port Hedland WA,T-W,SME,1723303,Elevated Slab,14147.92,2025-04-28,2026-04-28
POL-002135,Northbeam General,850,Alice Springs NT,B-F,Home,567970,Roof Tie-Down,799.74,2024-07-29,2025-07-29
POL-002136,Pacific Rim Insurance,810,Darwin NT,T-W,Home,898322,Roof Tie-Down,7122.91,2024-07-29,2025-07-29
POL-002137,Northbeam General,850,Alice Springs NT,B-F,SME,1446016,Shutters Installed,2423.08,2024-11-10,2025-11-10
POL-002138,Northbeam General,4737,Bowen QLD,Q-S,Home,649454,Roof Tie-Down,3568.72,2024-05-03,2025-05-03
POL-002139,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,629987,,6500.7,2024-08-21,2025-08-21
POL-002140,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Home,765655,Roof Tie-Down,4608.09,2024-08-03,2025-08-03
POL-002141,Coral Coast Mutual,6714,Karratha WA,T-W,Strata,3155782,,28044.64,2024-10-01,2025-10-01
POL-002142,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Strata,13222344,Roof Tie-Down,44344.46,2024-10-11,2025-10-11
POL-002143,Outback Assurance Group,6721,Port Hedland WA,T-W,SME,748432,,6903.5,2025-03-29,2026-03-29
POL-002144,Northbeam General,4870,Cairns QLD,T-W,Home,427272,,3949.66,2023-09-16,2024-09-15
POL-002145,Northbeam General,4720,Charters Towers QLD,L-P,Home,274583,,1150.85,2025-07-16,2026-07-16
POL-002146,Coral Coast Mutual,4740,Mackay QLD,Q-S,Home,525894,,3383.4,2024-03-19,2025-03-19
POL-002147,Pacific Rim Insurance,4740,Mackay QLD,Q-S,Home,730339,,4898.55,2023-12-07,2024-12-06
POL-002148,Coral Coast Mutual,4740,Mackay QLD,Q-S,Home,261196,,1777.45,2023-01-20,2024-01-20
POL-002149,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,657263,,2504.32,2024-11-19,2025-11-19
POL-002150,Northbeam General,4655,Hervey Bay QLD,L-P,Home,695135,,2865.38,2023-12-17,2024-12-16
POL-002151,Outback Assurance Group,4680,Gladstone QLD,L-P,SME,2450303,,9841.83,2023-03-27,2024-03-26
POL-002152,Northbeam General,4825,Mount Isa QLD,B-F,SME,2534025,,4922.33,2023-01-24,2024-01-24
POL-002153,Northbeam General,800,Darwin NT,T-W,Home,318114,Roof Tie-Down,2391.01,2025-03-31,2026-03-31
POL-002154,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,SME,456401,Roof Tie-Down,731.32,2023-12-16,2024-12-15
POL-002155,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,733145,,1354.24,2023-12-05,2024-12-04
POL-002156,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,459213,,4727.23,2025-08-06,2026-08-06
POL-002157,Northbeam General,4700,Rockhampton QLD,Q-S,Home,254027,,1629.04,2024-12-03,2025-12-03
POL-002158,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Home,585968,Roof Tie-Down,3318.7,2023-07-17,2024-07-16
POL-002159,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,SME,1180412,,7625.43,2025-01-19,2026-01-19
POL-002160,Coral Coast Mutual,4740,Mackay QLD,Q-S,Home,333422,,2026.74,2023-07-22,2024-07-21
POL-002161,Southern Cross Insurance,810,Darwin NT,T-W,SME,1194172,,11798.34,2024-12-20,2025-12-20
POL-002162,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,488777,Shutters Installed,2518.17,2024-10-12,2025-10-12
POL-002163,Coral Coast Mutual,6721,Port Hedland WA,T-W,Home,549266,,4924.0,2023-09-14,2024-09-13
POL-002164,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,513893,,884.58,2023-06-15,2024-06-14
POL-002165,Outback Assurance Group,4740,Mackay QLD,Q-S,Home,313338,Shutters Installed,1772.69,2025-04-17,2026-04-17
POL-002166,Southern Cross Insurance,4825,Mount Isa QLD,B-F,SME,2270374,,3687.81,2025-02-01,2026-02-01
POL-002167,Southern Cross Insurance,6714,Karratha WA,T-W,Home,629039,,6212.61,2024-09-12,2025-09-12
POL-002168,Outback Assurance Group,4802,Townsville QLD,T-W,Home,722684,,6670.67,2025-04-10,2026-04-10
POL-002169,Northbeam General,4680,Gladstone QLD,L-P,Home,578702,,2452.87,2025-02-01,2026-02-01
POL-002170,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,620037,Roof Tie-Down,931.53,2025-06-20,2026-06-20
POL-002171,Outback Assurance Group,6714,Karratha WA,T-W,Strata,8765272,,82664.28,2025-07-09,2026-07-09
POL-002172,Northbeam General,4737,Bowen QLD,Q-S,Home,654293,,4184.52,2023-01-26,2024-01-26
POL-002173,Outback Assurance Group,6714,Karratha WA,T-W,Home,406640,,3785.37,2023-01-15,2024-01-15
POL-002174,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,477534,,2852.45,2024-02-05,2025-02-04
